part_number,part_type,description,rated_voltage_v,min_temp_c,max_temp_c,lifecycle
X100,sensor_interface,Field sensor interface,24,-20,60,active
X110,sensor_interface,Coated sensor interface,24,-30,85,active
X120,sensor_interface,Low-voltage sensor interface,12,-20,70,active
X130,sensor_interface,Indoor sensor interface,24,0,60,active
X140,sensor_interface,Extended-temperature interface,24,-40,105,active
X150,sensor_interface,High-voltage sensor interface,48,-20,80,active
X160,sensor_interface,Legacy sealed sensor interface,24,-20,75,discontinued
X170,sensor_interface,Logic-level sensor interface,5,-10,50,active
X180,sensor_interface,Standard sensor interface,24,-20,80,active
R200,power_relay,Standard power relay,24,-20,70,active
R210,power_relay,Vibration-rated power relay,24,-40,85,active
C300,connector,Five-volt keyed connector,5,-20,70,active
