application_key,facility,parameter,monitoring_period,change,fields_changed,before_comparison,after_comparison,before_monitoring,after_monitoring,before_evidence,after_evidence,before_unresolved,after_unresolved,semantic_relation,grounding_pointer,before_state,after_state
measurement:dmr_form_value_id=3920700840,NM0028762,00400,2024-10-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700841,NM0028762,00400,2024-10-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700842,NM0028762,00530,2024-10-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700843,NM0028762,00530,2024-10-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700844,NM0028762,00530,2024-10-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700845,NM0028762,00530,2024-10-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700846,NM0028762,50050,2024-10-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700847,NM0028762,50050,2024-10-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",NOT_NUMERIC_CANDIDATE,NOT_NUMERIC_CANDIDATE,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700848,NM0028762,50060,2024-10-31,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
measurement:dmr_form_value_id=3920700851,NM0028762,00400,2024-11-30,field_delta,"monitoring_status,evidence_status,unresolved_reason,monitoring_condition",WITHIN_LIMIT,WITHIN_LIMIT,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,UNRESOLVED_SEMANTIC,UNRESOLVED_FACTUAL,conditional_discharge_dependent_monitoring;limit_sample_type_code;monitoring_frequency_code;permit_limit_comment_text,discharge_occurrence_in_period;limit_sample_type_code;monitoring_frequency_code,monitoring_requirement_fy2025 / discharge_occurrence_in_period,,state_a,state_b
